
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 03-Jun-2026 at 09:40:21.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        ANCHTEN1        ANCHTEN2        ANCHTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    0.0000   1.1105414E+06   1.1093222E+06   1.1105414E+06   9.1375024E+05   9.0643318E+05   9.1375024E+05
    0.0125   1.1104394E+06   1.1092850E+06   1.1104394E+06   9.1364509E+05   9.0639578E+05   9.1364509E+05
    0.0250   1.1105537E+06   1.1086420E+06   1.1105537E+06   9.1353947E+05   9.0636011E+05   9.1353947E+05
    0.0375   1.1106260E+06   1.1080975E+06   1.1106260E+06   9.1343347E+05   9.0632618E+05   9.1343347E+05
    0.0500   1.1106825E+06   1.1075798E+06   1.1106825E+06   9.1332733E+05   9.0629399E+05   9.1332733E+05
    0.0625   1.1107286E+06   1.1070757E+06   1.1107286E+06   9.1322152E+05   9.0626354E+05   9.1322152E+05
    0.0750   1.1107678E+06   1.1065791E+06   1.1107678E+06   9.1311668E+05   9.0623483E+05   9.1311668E+05
    0.0875   1.1108025E+06   1.1060873E+06   1.1108025E+06   9.1301353E+05   9.0620784E+05   9.1301353E+05
    0.1000   1.1108346E+06   1.1055993E+06   1.1108346E+06   9.1291265E+05   9.0618255E+05   9.1291265E+05
    0.1125   1.1108656E+06   1.1051145E+06   1.1108656E+06   9.1281438E+05   9.0615891E+05   9.1281438E+05
    0.1250   1.1108968E+06   1.1046331E+06   1.1108968E+06   9.1271877E+05   9.0613684E+05   9.1271877E+05
    0.1375   1.1109292E+06   1.1041550E+06   1.1109292E+06   9.1262554E+05   9.0611623E+05   9.1262554E+05
    0.1500   1.1109634E+06   1.1036806E+06   1.1109634E+06   9.1253421E+05   9.0609675E+05   9.1253421E+05
    0.1625   1.1109998E+06   1.1032100E+06   1.1109998E+06   9.1244423E+05   9.0607776E+05   9.1244423E+05
    0.1750   1.1110384E+06   1.1027434E+06   1.1110384E+06   9.1235515E+05   9.0605800E+05   9.1235515E+05
    0.1875   1.1110790E+06   1.1022812E+06   1.1110790E+06   9.1226688E+05   9.0603527E+05   9.1226688E+05
    0.2000   1.1111216E+06   1.1018237E+06   1.1111216E+06   9.1217981E+05   9.0600613E+05   9.1217981E+05
    0.2125   1.1111656E+06   1.1013711E+06   1.1111656E+06   9.1209502E+05   9.0596568E+05   9.1209502E+05
    0.2250   1.1112106E+06   1.1009236E+06   1.1112106E+06   9.1201422E+05   9.0590762E+05   9.1201422E+05
    0.2375   1.1112563E+06   1.1004815E+06   1.1112563E+06   9.1193974E+05   9.0582447E+05   9.1193974E+05
    0.2500   1.1113022E+06   1.1000452E+06   1.1113022E+06   9.1187427E+05   9.0570807E+05   9.1187427E+05
    0.2625   1.1113480E+06   1.0996148E+06   1.1113480E+06   9.1182069E+05   9.0555027E+05   9.1182069E+05
    0.2750   1.1113935E+06   1.0991906E+06   1.1113935E+06   9.1178167E+05   9.0534365E+05   9.1178167E+05
    0.2875   1.1114384E+06   1.0987729E+06   1.1114384E+06   9.1175948E+05   9.0508217E+05   9.1175948E+05
    0.3000   1.1114826E+06   1.0983619E+06   1.1114826E+06   9.1175579E+05   9.0476173E+05   9.1175579E+05
    0.3125   1.1115259E+06   1.0979578E+06   1.1115259E+06   9.1177147E+05   9.0438043E+05   9.1177147E+05
    0.3250   1.1115684E+06   1.0975609E+06   1.1115684E+06   9.1180665E+05   9.0393862E+05   9.1180665E+05
    0.3375   1.1116101E+06   1.0971713E+06   1.1116101E+06   9.1186074E+05   9.0343877E+05   9.1186074E+05
    0.3500   1.1116509E+06   1.0967893E+06   1.1116509E+06   9.1193256E+05   9.0288509E+05   9.1193256E+05
    0.3625   1.1116910E+06   1.0964149E+06   1.1116910E+06   9.1202046E+05   9.0228313E+05   9.1202046E+05
    0.3750   1.1117304E+06   1.0960481E+06   1.1117304E+06   9.1212257E+05   9.0163929E+05   9.1212257E+05
    0.3875   1.1117692E+06   1.0956889E+06   1.1117692E+06   9.1223685E+05   9.0096039E+05   9.1223685E+05
    0.4000   1.1118075E+06   1.0953372E+06   1.1118075E+06   9.1236134E+05   9.0025326E+05   9.1236134E+05
    0.4125   1.1118455E+06   1.0949926E+06   1.1118455E+06   9.1249414E+05   8.9952443E+05   9.1249414E+05
    0.4250   1.1118832E+06   1.0946545E+06   1.1118832E+06   9.1263356E+05   8.9877994E+05   9.1263356E+05
    0.4375   1.1119209E+06   1.0943220E+06   1.1119209E+06   9.1277814E+05   8.9802517E+05   9.1277814E+05
    0.4500   1.1119587E+06   1.0939940E+06   1.1119587E+06   9.1292659E+05   8.9726482E+05   9.1292659E+05
    0.4625   1.1119971E+06   1.0936691E+06   1.1119971E+06   9.1307788E+05   8.9650288E+05   9.1307788E+05
    0.4750   1.1120364E+06   1.0933451E+06   1.1120364E+06   9.1323114E+05   8.9574269E+05   9.1323114E+05
    0.4875   1.1120770E+06   1.0930200E+06   1.1120770E+06   9.1338566E+05   8.9498699E+05   9.1338566E+05
    0.5000   1.1121198E+06   1.0926909E+06   1.1121198E+06   9.1354085E+05   8.9423800E+05   9.1354085E+05
    0.5125   1.1121654E+06   1.0923548E+06   1.1121654E+06   9.1369621E+05   8.9349754E+05   9.1369621E+05
    0.5250   1.1122147E+06   1.0920085E+06   1.1122147E+06   9.1385134E+05   8.9276705E+05   9.1385134E+05
    0.5375   1.1122686E+06   1.0916485E+06   1.1122686E+06   9.1400588E+05   8.9204769E+05   9.1400588E+05
    0.5500   1.1123282E+06   1.0912713E+06   1.1123282E+06   9.1415949E+05   8.9134039E+05   9.1415949E+05
    0.5625   1.1123944E+06   1.0908736E+06   1.1123944E+06   9.1431190E+05   8.9064594E+05   9.1431190E+05
    0.5750   1.1124681E+06   1.0904523E+06   1.1124681E+06   9.1446285E+05   8.8996496E+05   9.1446285E+05
    0.5875   1.1125502E+06   1.0900047E+06   1.1125502E+06   9.1461210E+05   8.8929798E+05   9.1461210E+05
    0.6000   1.1126414E+06   1.0895288E+06   1.1126414E+06   9.1475944E+05   8.8864544E+05   9.1475944E+05
    0.6125   1.1127423E+06   1.0890229E+06   1.1127423E+06   9.1490467E+05   8.8800770E+05   9.1490467E+05
    0.6250   1.1128532E+06   1.0884863E+06   1.1128532E+06   9.1504765E+05   8.8738505E+05   9.1504765E+05
    0.6375   1.1129741E+06   1.0879189E+06   1.1129741E+06   9.1518823E+05   8.8677773E+05   9.1518823E+05
    0.6500   1.1131051E+06   1.0873214E+06   1.1131051E+06   9.1532630E+05   8.8618587E+05   9.1532630E+05
    0.6625   1.1132458E+06   1.0866950E+06   1.1132458E+06   9.1546179E+05   8.8560953E+05   9.1546179E+05
    0.6750   1.1133958E+06   1.0860418E+06   1.1133958E+06   9.1559466E+05   8.8504869E+05   9.1559466E+05
    0.6875   1.1135543E+06   1.0853644E+06   1.1135543E+06   9.1572488E+05   8.8450318E+05   9.1572488E+05
    0.7000   1.1137205E+06   1.0846656E+06   1.1137205E+06   9.1585250E+05   8.8397271E+05   9.1585250E+05
    0.7125   1.1138937E+06   1.0839489E+06   1.1138937E+06   9.1597757E+05   8.8345684E+05   9.1597757E+05
    0.7250   1.1140727E+06   1.0832177E+06   1.1140727E+06   9.1610022E+05   8.8295495E+05   9.1610022E+05
    0.7375   1.1142566E+06   1.0824757E+06   1.1142566E+06   9.1622060E+05   8.8246624E+05   9.1622060E+05
    0.7500   1.1144443E+06   1.0817267E+06   1.1144443E+06   9.1633893E+05   8.8198973E+05   9.1633893E+05
    0.7625   1.1146349E+06   1.0809741E+06   1.1146349E+06   9.1645548E+05   8.8152421E+05   9.1645548E+05
    0.7750   1.1148273E+06   1.0802214E+06   1.1148273E+06   9.1657057E+05   8.8106829E+05   9.1657057E+05
    0.7875   1.1150207E+06   1.0794720E+06   1.1150207E+06   9.1668458E+05   8.8062038E+05   9.1668458E+05
